,image,price,deal,title,shop,location
0,//g.alicdn.com/s.gif,"¥
20.00",1492,"一封情酥现烤椰子饼厦门特产糕点吃货网红
美食
公办休闲零食伴手礼",壹封情酥,福建 厦门
0,//g.alicdn.com/s.gif,"¥
16.80",144,"赵老师煎麻饼500g袋四川特产黑芝麻饼早餐
美食
零食品糕点心零食",醇厚食品专营店,四川 成都
0,//g.alicdn.com/s.gif,"¥
43.90",442,"诱见雪花酥糕点礼盒装抹茶草莓网红零食手工自制ins
美食
抖音同款",诱见旗舰店,安徽 合肥
0,//g.alicdn.com/s.gif,"¥
28.80",233,"巫糕糕红豆乳酪酥 网红茶点特产
美食
传统手工点心糕点小吃零食",nicolefeier,四川 成都
0,//g.alicdn.com/s.gif,"¥
25.90",233,"姚当家 安徽特产黄山烧饼梅干菜扣肉金华酥饼
美食
糕点心零食小吃",姚当家旗舰店,安徽 黄山
0,//g.alicdn.com/s.gif,"¥
29.90",154,"上好旺义乌红糖麻花小辫小麻花浙江特产糕点
美食
小吃网红零食批发",上好旺旗舰店,浙江 金华
0,//g.alicdn.com/s.gif,"¥
31.80",166,"鑫炳记核桃仁太谷饼1400g山西特产小吃面包手撕传统
美食
零食糕点",鑫炳记旗舰店,山西 晋中
0,//g.alicdn.com/s.gif,"¥
28.00",181,"轩妈家蛋黄酥55g*6枚/盒手工传统糕点
美食
早餐零食小吃雪媚娘麻薯",最后的轻语110,广西 南宁
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/1720086049/TB14u5Hm8jTBKNjSZFNXXasFXXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
29.90",2651,"赵老师麻饼700g*2袋四川特产早餐
美食
休闲零食品传统手工糕点饼干",醇厚食品专营店,四川 成都
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/135845081/TB2Y1nVlGagSKJjy0FaXXb0dpXa_!!135845081.png_360x360Q90.jpg_.webp,"¥
125.00",116,"台湾发获奖第一名美美香葱牛轧糖饼干600g小吃零食品
美食
年货正宗",awjblk88,台湾 台中
